,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е
354,дисграфия,0.07,0.0,0.0,0.0,0.0,0.0,0.1,0.0
355,дискурс,1635.74,0.0,0.5,12.7,374.8,1153.3,2146.5,1675.2
356,дискурсивный,247.38,0.0,0.0,4.9,59.3,165.6,328.7,392.1
357,дискурсология,0.47,0.0,0.0,0.0,0.0,0.2,0.8,1.4
358,диссимилятивный,6.94,1.2,2.0,1.2,3.0,4.6,8.9,1.4
359,диссимиляция,3.21,3.6,5.7,3.0,1.8,2.8,2.0,1.9
360,дистрибутивный,33.97,1.2,6.2,42.6,32.2,27.2,24.7,40.9
361,дистрибуция,29.57,0.0,12.1,28.8,19.7,23.3,24.8,36.2
362,дифтонг,21.42,9.6,45.4,21.3,12.8,13.0,18.7,26.3
363,дифтонгизация,1.09,0.0,3.3,0.7,0.9,0.7,0.9,0.5
364,дифтонгический,1.1,0.0,1.8,2.0,0.4,0.5,1.1,0.9
365,дифтонгоид,1.26,0.0,3.3,1.0,0.2,0.7,1.3,2.4
366,дифференциальный,68.07,20.3,33.5,80.6,69.3,60.3,40.9,43.7
367,дифференциация,116.4,26.3,55.2,113.1,121.6,105.5,73.7,30.6
368,дифференцированный,20.09,8.4,14.1,22.6,16.7,13.3,18.7,5.2
369,долженствование,14.01,13.2,10.5,8.0,14.5,11.9,10.5,6.1
370,дополнение,127.1,61.0,139.4,139.5,92.0,89.6,106.3,95.4
371,дорсальный,0.69,0.0,1.0,0.6,0.3,0.5,0.6,0.0
372,древнеанглийский,29.33,0.0,2.0,20.7,25.0,25.9,24.1,4.7
373,древнеболгарский,3.73,8.4,3.4,2.7,3.6,2.2,3.8,1.9
374,древнегерманский,12.85,0.0,1.1,2.4,10.3,12.0,11.2,4.7
375,древнегреческий,22.97,34.7,17.0,20.8,20.7,14.9,21.8,9.9
376,древнегрузинский,2.24,0.0,0.2,12.2,5.1,0.3,0.9,0.0
377,древнееврейский,5.72,6.0,6.2,8.4,5.5,3.3,4.7,8.5
378,древнеиндийский,6.06,16.8,6.0,4.4,7.9,4.5,4.4,1.9
379,древнеисландский,5.41,0.0,2.1,3.4,9.3,3.7,4.6,0.0
380,древнеперсидский,1.31,1.2,1.3,0.6,1.0,0.6,1.4,7.1
381,древнепрусский,0.73,2.4,1.5,0.9,1.7,0.4,0.3,0.0
382,древнеримский,1.54,2.4,1.3,2.3,1.0,1.0,1.4,0.5
383,древнерусский,237.61,456.0,266.8,215.1,272.7,178.8,165.7,155.2
384,древнетюркский,51.66,2.4,303.4,131.1,22.1,16.6,27.0,25.4
385,древнеуйгурский,9.29,1.2,51.6,24.5,2.2,2.6,5.9,4.2
386,еврейский,21.49,21.5,11.6,25.1,20.4,14.0,19.2,17.4
387,европейский,257.67,252.5,184.0,199.0,239.3,205.7,201.3,176.8
388,еканье,3.99,2.4,4.2,10.7,2.6,2.0,3.1,2.8
389,енисейский,32.44,4.8,137.6,52.8,12.0,15.1,23.6,28.7
390,жанр,833.34,250.1,197.0,318.0,444.8,741.8,765.7,350.3
391,жанровый,139.4,25.1,30.9,55.5,93.0,127.0,120.2,59.7
392,жаргон,150.85,122.1,44.6,31.3,133.3,164.4,91.3,68.6
393,жаргонизм,18.8,22.7,6.9,8.6,24.0,16.1,14.0,6.6
394,жаргонный,25.48,39.5,13.2,5.8,23.5,27.6,14.0,16.5
395,жестикуляция,4.36,6.0,0.5,0.9,1.3,2.0,6.3,12.7
396,жестовый,21.99,0.0,0.2,2.5,2.7,18.6,23.2,63.5
397,зависимый,153.37,73.0,77.8,104.0,119.9,114.6,137.5,238.9
398,заднеязычный,10.63,10.8,20.9,8.0,8.1,7.4,8.5,7.5
399,заикание,0.88,4.8,2.3,0.3,0.3,0.4,0.7,5.6
400,заимствование,412.44,178.3,385.1,339.8,339.1,343.8,303.5,246.4
401,заимствованный,77.43,61.0,69.8,53.9,58.7,70.1,53.2,44.2
402,залог,114.04,19.1,169.4,219.7,76.2,83.8,69.6,29.6
403,залоговый,21.47,0.0,33.2,43.3,16.6,15.7,12.3,2.8
404,западноевропейский,24.51,27.5,34.5,25.8,16.6,20.1,16.2,21.2
405,западнославянский,5.46,12.0,7.4,4.4,8.7,3.8,3.5,4.7
406,запятая,18.27,99.3,30.4,19.2,16.3,13.1,12.1,7.1
407,заударный,9.39,6.0,6.4,7.1,4.7,6.6,9.1,16.0
408,звонкий,28.54,46.7,76.8,44.0,26.0,15.8,19.5,18.3
409,звонкость,5.96,0.0,12.4,10.1,6.6,4.2,3.1,4.2
410,звук,453.71,1055.6,776.4,460.4,433.3,323.3,313.5,297.2
411,звукобуквенный,1.04,0.0,0.0,0.0,0.0,1.5,0.5,0.5
412,звуковой,140.38,155.6,174.7,138.5,148.8,116.7,85.9,46.1
413,звукопись,3.71,15.6,9.3,4.9,1.6,3.2,1.7,0.5
414,звукоподражание,14.26,14.4,16.0,7.5,10.0,10.7,13.1,3.3
415,звукоподражательный,21.1,59.8,36.4,18.9,20.8,12.0,18.8,9.4
416,звукосимволизм,3.06,0.0,0.0,0.9,2.0,2.5,3.2,0.5
417,звукосимволический,2.42,0.0,0.0,0.1,2.1,2.5,2.0,0.0
418,звучание,58.84,164.0,93.6,57.0,58.5,46.2,36.5,18.3
419,звучащий,17.66,14.4,4.1,7.2,13.3,16.6,13.9,8.9
420,зевгма,2.86,0.0,0.0,0.2,0.9,2.3,3.5,0.0
421,иврит,15.83,1.2,0.2,6.5,2.8,12.2,18.8,1.9
422,идеограмма,1.95,0.0,1.8,0.1,1.2,1.9,1.6,0.5
423,идеофон,3.48,0.0,0.0,0.9,2.1,1.0,5.7,10.3
424,идиолект,37.79,3.6,1.8,3.5,12.3,34.0,38.8,30.6
425,идиом,200.67,23.9,73.7,71.7,209.4,164.8,168.6,286.8
426,идиома,127.81,13.2,57.5,55.5,137.2,104.7,104.1,166.4
427,идиоматизация,0.32,0.0,0.0,0.1,0.3,0.3,0.2,1.4
428,идиоматический,22.24,4.8,20.7,15.4,16.1,19.5,16.1,19.3
429,идиоматичный,5.89,0.0,2.3,5.5,5.3,6.4,2.6,4.7
430,идиостиль,9.84,0.0,0.0,0.1,4.0,10.4,8.3,6.1
431,идиш,6.5,1.2,1.0,1.8,1.7,3.1,10.0,2.8
432,иероглиф,11.62,7.2,5.7,1.5,8.9,10.7,9.3,17.4
433,иероглифический,2.71,1.2,1.8,0.3,2.1,2.3,2.5,1.9
434,избыточность,24.21,13.2,6.0,19.8,13.6,14.2,29.0,9.4
435,избыточный,15.6,25.1,7.4,10.3,12.0,12.3,13.5,15.0
436,изоглосса,15.2,16.8,32.2,24.4,13.5,10.0,9.6,6.6
437,изолированный,17.63,9.6,16.3,21.0,22.0,12.6,12.3,13.6
438,изолирующий,0.26,0.0,0.0,0.1,1.0,0.2,0.1,0.0
439,изоморфизм,14.74,0.0,2.0,12.3,18.9,13.3,9.8,3.3
440,изоморфность,0.65,0.0,0.0,0.3,0.9,0.7,0.3,0.0
441,израильский,2.53,1.2,1.0,0.7,1.9,2.7,1.7,1.4
442,изречение,17.54,29.9,19.6,10.1,18.5,12.7,14.1,20.7
443,икание,2.77,4.8,3.6,4.7,1.7,2.0,1.7,5.6
444,иконический,16.03,0.0,0.0,0.7,13.8,13.2,16.4,9.9
445,иллатив,3.44,0.0,0.2,1.6,3.6,1.0,5.1,11.3
446,именной,280.1,85.0,192.3,304.2,271.5,207.4,220.7,221.5
447,императив,108.08,4.8,37.3,19.6,68.0,82.9,115.9,83.7
448,императивность,4.63,2.4,0.2,1.3,2.2,3.4,5.5,0.9
449,императивный,35.27,0.0,18.3,5.1,24.3,30.1,33.9,8.5
450,имперсонал,4.2,0.0,0.3,1.3,2.5,0.9,6.1,36.7
451,имперсональный,1.79,0.0,0.2,0.3,0.5,0.2,3.3,7.5
452,имперфект,74.03,6.0,10.0,13.8,28.2,26.1,120.9,139.6
453,имперфектив,47.79,1.2,2.0,2.3,9.2,12.0,88.2,91.7
454,имперфективация,1.04,0.0,0.0,0.1,0.3,0.3,1.8,3.3
455,имперфективный,17.15,0.0,1.0,0.9,2.5,4.5,32.2,16.9
456,импликатура,2.19,0.0,0.0,0.0,1.3,1.5,2.7,1.9
457,импликация,24.93,1.2,0.2,14.0,25.9,23.9,17.7,8.9
458,имплицитный,111.89,0.0,5.4,57.1,99.8,109.2,80.9,60.2
459,имплозивный,0.87,0.0,4.7,0.7,0.3,0.7,0.4,0.0
460,инвариант,100.92,0.0,10.9,68.1,125.1,97.6,62.4,39.0
461,инвариантность,7.06,0.0,0.7,2.7,10.9,6.7,4.5,1.4
462,инвариантный,44.38,0.0,4.4,44.7,48.1,43.6,25.3,9.9
463,инвариативность,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.0
464,инверсированный,0.78,20.3,1.1,0.6,0.6,0.7,0.2,0.5
465,инверсия,23.4,28.7,19.1,31.6,13.5,17.1,19.1,9.9
466,ингушский,28.06,2.4,3.8,20.1,8.5,25.6,25.4,1.9
467,индейский,4.12,10.8,2.0,2.1,2.3,2.6,4.5,9.4
468,индийский,17.3,26.3,19.3,18.2,18.4,12.1,12.7,20.2
469,индикатив,24.19,0.0,28.8,20.9,22.3,12.4,24.7,53.6
470,индикативный,4.03,0.0,8.2,3.6,2.9,2.2,3.9,2.4
471,индоарийский,2.78,0.0,0.2,0.8,3.4,2.4,2.3,3.3
472,индоевропеистика,4.15,1.2,2.3,1.6,4.9,3.6,3.1,2.8
473,индоиранский,3.7,1.2,1.0,2.5,1.9,2.7,3.9,2.4
474,инкорпорация,6.82,0.0,0.2,2.2,3.7,3.9,8.7,16.0
475,инкультурация,0.08,0.0,0.0,0.0,0.1,0.0,0.1,0.0
476,иносказательный,4.91,13.2,9.3,4.9,4.5,3.9,2.8,5.6
477,инструменталис,4.85,0.0,0.8,1.0,0.9,2.7,6.7,12.2
478,инструментальный,22.91,3.6,11.4,17.8,13.3,17.8,20.9,22.6
479,интенсификация,15.61,0.0,3.1,11.3,14.4,15.6,9.5,14.6
480,интенция,77.39,0.0,0.2,19.8,55.4,78.1,60.6,39.0
481,интервокальный,9.23,0.0,30.6,12.4,4.7,3.5,8.4,22.1
482,интертекстуальный,2.74,0.0,0.0,0.1,1.2,2.1,3.3,0.5
483,интерферентный,0.05,0.0,0.0,0.4,0.0,0.0,0.0,0.0
484,интерференционный,2.05,0.0,0.0,0.4,0.4,2.0,2.0,0.0
485,интерференция,69.55,0.0,8.3,39.1,53.0,69.5,50.0,10.8
486,интерфикс,7.02,22.7,19.4,6.2,4.4,3.7,6.4,0.9
487,интонационный,88.54,81.4,52.1,115.5,122.2,78.1,43.1,32.0
488,интонация,133.29,165.2,120.7,172.1,164.5,119.8,61.7,32.9
489,интонирование,1.79,1.2,0.3,1.7,0.9,1.7,1.3,0.9
490,интродукция,1.78,0.0,0.0,2.3,1.7,1.0,1.9,1.9
491,интуитивность,0.34,0.0,0.0,0.2,0.3,0.4,0.2,0.5
492,интуитивный,8.46,1.2,2.6,4.7,9.5,7.6,6.0,7.1
493,интуиция,15.85,8.4,4.9,7.1,15.9,14.3,11.6,20.7
494,инфикс,2.95,0.0,3.8,1.2,2.7,2.1,2.6,4.7
495,инфинитив,160.35,91.0,51.0,149.5,149.1,110.0,141.3,348.9
496,инфинитивный,45.16,57.4,8.8,37.6,37.3,34.5,37.0,110.0
497,информант,81.26,1.2,8.3,30.9,43.3,55.0,93.5,150.0
498,инхоатив,7.08,0.0,0.7,1.9,2.3,3.5,10.3,12.7
499,иранистика,1.66,0.0,4.1,0.9,0.5,1.1,1.6,0.5
500,иранский,50.33,21.5,68.0,57.7,37.4,28.7,47.0,71.9
501,ирландский,12.37,2.4,1.8,1.3,13.2,10.4,11.6,5.6
502,иронический,31.56,63.4,33.2,29.3,20.5,27.3,21.5,10.8
503,ироничный,4.8,1.2,2.3,1.5,3.6,3.9,4.5,4.7
504,ирония,68.0,56.2,29.2,49.9,27.3,57.7,60.9,25.4
505,исландский,9.78,0.0,6.7,6.9,14.7,6.4,8.6,4.7
506,испанистика,1.57,0.0,0.0,2.1,0.4,0.9,1.9,0.0
507,испанский,145.9,37.1,12.7,126.0,74.3,98.5,159.1,139.6
508,истолкование,19.76,29.9,26.1,21.9,20.4,14.7,13.5,7.1
509,историзм,20.03,20.3,27.9,23.5,16.9,17.6,10.9,5.2
510,италийский,3.22,0.0,0.7,1.5,1.8,2.2,3.8,0.5
511,итальянский,68.1,77.8,33.5,46.3,51.1,43.6,63.5,266.1
512,ительменский,3.32,2.4,3.9,1.0,0.4,2.1,4.1,0.5
513,итератив,22.42,0.0,1.0,19.6,13.7,9.6,29.2,66.8
514,итеративный,10.08,0.0,0.7,5.4,8.7,5.8,12.2,10.8
515,йот,10.74,38.3,5.9,7.5,16.1,5.8,10.5,5.2
516,йотация,0.66,1.2,0.3,0.2,0.8,0.5,0.6,0.0
517,кавказский,93.76,25.1,63.2,67.7,111.9,74.6,71.9,31.0
518,каламбур,33.01,107.7,26.6,25.4,27.7,27.8,23.7,6.1
519,каламбурный,3.97,8.4,4.6,3.4,5.0,3.3,2.4,0.0
520,калмыцкий,55.86,9.6,23.5,13.2,19.7,60.6,40.5,21.2
521,калужский,5.86,19.1,9.1,6.5,6.8,3.3,4.5,12.2
522,калька,27.51,39.5,21.1,34.8,22.7,21.6,19.1,24.9
523,калькирование,25.75,4.8,11.3,31.2,14.1,20.0,21.7,22.1
524,канадский,7.02,2.4,0.5,1.6,3.4,4.3,9.1,8.0
525,канцеляризм,1.36,21.5,1.3,2.8,1.0,0.9,0.5,0.9
526,канцелярский,7.03,58.6,13.2,8.5,6.9,5.6,3.1,1.4
527,караимский,8.15,0.0,43.1,21.1,3.1,2.8,4.4,10.3
528,каракалпакский,32.09,6.0,245.7,115.9,15.5,6.1,7.9,2.4
529,карельский,30.3,12.0,5.6,8.1,18.9,14.2,41.0,92.2
530,карпатский,3.09,7.2,1.3,6.0,2.0,2.0,2.1,10.3
531,картвельский,6.5,13.2,3.3,14.1,17.5,3.6,2.7,2.4
532,картина,856.87,180.7,147.7,102.4,363.0,795.9,816.4,518.6
533,каталанский,4.24,0.0,0.2,0.4,2.6,0.9,7.4,13.2
534,катарсис,2.96,0.0,0.2,0.3,19.1,1.1,1.0,0.0
535,катафорический,0.13,0.0,0.0,0.1,0.1,0.1,0.1,0.0
536,каузатив,89.7,1.2,34.1,69.5,71.5,70.5,78.4,79.0
537,каузативность,1.62,0.0,0.3,1.3,0.9,1.9,0.8,0.0
538,каузативный,45.6,1.2,20.3,43.5,42.2,38.6,33.3,30.1
539,каузатор,9.49,0.0,0.8,5.9,5.8,9.0,7.5,5.6
540,квантификация,5.71,0.0,0.5,1.0,4.7,4.8,5.5,3.8
541,квантор,16.61,0.0,0.5,6.2,21.4,12.9,14.8,18.3
542,кванторный,6.49,0.0,0.0,2.4,10.1,4.6,6.0,8.0
543,кельтский,11.89,0.0,2.6,2.9,4.8,8.7,14.0,7.1
544,кипчакский,2.21,1.2,13.7,6.1,1.0,0.9,0.5,4.7
545,киргизский,52.67,8.4,307.0,169.8,29.0,20.1,15.2,10.3
546,кириллица,6.91,8.4,6.0,5.5,7.0,4.4,6.3,9.4
547,кириллический,5.47,4.8,1.5,1.6,3.6,2.2,8.0,8.9
548,китайский,187.0,19.1,58.8,54.4,108.8,119.5,212.7,537.4
549,клауза,14.69,0.0,0.0,0.2,0.1,5.0,23.7,88.9
550,клефт,1.94,0.0,0.0,0.5,0.3,2.3,1.4,0.0
551,клинописный,2.38,0.0,0.8,0.4,0.5,0.3,4.8,0.0
552,клитика,12.84,0.0,3.1,4.2,4.4,6.5,18.6,10.8
553,клише,30.38,8.4,5.2,11.4,25.5,31.8,19.6,23.0
554,клишированность,1.15,0.0,0.0,0.1,1.0,0.9,1.1,1.4
555,когерентность,8.32,0.0,0.0,3.7,6.7,8.2,6.1,8.5
556,когнат,2.37,0.0,0.0,0.3,0.1,0.5,3.3,34.3
557,когнитивистика,8.04,0.0,0.0,0.0,1.3,6.2,9.9,9.9
558,когнитивный,1228.51,0.0,0.0,5.0,458.0,1116.5,1271.1,866.1
559,комический,77.33,52.7,16.5,44.8,66.9,70.5,60.7,6.1
560,коммуникант,88.65,0.0,0.0,12.4,67.0,88.1,72.5,45.6
561,коммуникативный,1188.51,39.5,46.7,458.1,908.9,1125.4,973.6,560.9
562,коммуникация,999.44,23.9,17.6,145.5,447.6,870.9,1035.7,606.1
563,компаративистика,10.38,2.4,4.7,9.0,9.6,8.8,7.9,4.7
564,компаративный,33.62,1.2,2.3,13.7,32.7,30.3,28.0,7.5
565,комплемент,13.42,0.0,2.0,14.5,10.4,8.9,12.1,44.2
566,комплементарный,2.82,0.0,1.3,0.8,4.0,2.4,2.2,0.9
567,компрессия,25.43,0.0,1.3,26.2,22.3,21.7,20.0,3.8
568,конверб,8.49,0.0,0.0,0.0,1.0,1.7,16.3,22.6
569,конвергентный,3.81,0.0,1.3,3.3,2.1,2.6,3.9,5.2
570,конвергенция,15.99,0.0,2.5,24.0,13.0,11.3,13.8,8.5
571,кондиционалис,2.18,0.0,0.0,2.6,1.0,0.6,3.2,8.5
572,коннектор,11.28,0.0,0.0,1.6,4.7,10.2,9.6,49.8
573,коннотативный,79.92,0.0,1.1,31.7,70.1,88.2,47.6,39.0
574,коннотация,117.1,0.0,0.8,42.3,82.9,114.1,93.9,68.6
575,консонант,39.38,1.2,35.5,43.5,35.1,27.7,32.7,29.2
576,консонантизм,17.2,1.2,17.5,15.5,17.9,12.8,13.7,3.3
577,консонантный,17.26,0.0,12.9,22.8,14.8,11.7,14.0,24.9
578,константа,58.85,0.0,3.1,5.3,15.4,53.9,61.2,23.5
579,конституировать,16.48,2.4,3.8,12.4,19.7,15.3,10.6,6.6
580,конститутивный,14.52,1.2,1.5,4.5,7.7,12.7,14.4,2.4
581,конструкция,1206.97,503.8,502.9,1064.5,1018.5,909.0,1041.6,1308.5
582,контактирование,9.45,0.0,8.3,12.6,10.0,7.6,5.9,6.1
583,контактология,0.32,0.0,0.0,0.1,0.0,0.2,0.5,0.5
584,контаминация,21.85,18.0,18.5,13.8,18.8,17.1,18.5,9.9
585,контаминировать,6.03,3.6,3.1,2.7,4.4,5.2,5.1,6.1
586,контекст,995.49,343.5,226.6,656.2,764.6,841.1,830.1,1120.4
587,контекстный,52.28,3.6,6.5,45.8,46.7,47.8,37.1,31.0
588,контекстологический,3.74,0.0,0.5,2.7,2.9,3.3,3.1,0.5
589,контекстуальный,109.87,22.7,13.2,88.9,84.7,99.1,83.8,74.3
590,конфикс,4.15,0.0,0.0,2.2,2.4,3.8,3.7,0.9
591,концепт,2115.57,0.0,1.5,30.3,494.1,2079.2,2068.3,1114.3
592,концептосфера,15.99,0.0,0.0,0.0,0.8,14.3,18.3,4.7
593,концептуализация,29.47,0.0,0.0,0.2,13.1,29.4,27.0,13.2
594,концептуальный,400.65,0.0,1.1,20.5,190.7,387.9,372.1,248.3
595,концепция,241.75,19.1,55.4,107.4,205.4,214.8,201.0,151.4
596,конъюнктив,14.14,0.0,3.9,6.0,4.2,10.7,15.1,28.2
597,корейский,33.54,10.8,10.6,7.4,26.7,30.8,27.2,42.3
598,корень,202.14,568.5,325.8,196.7,199.7,128.7,155.9,235.6
599,кореферентный,0.27,0.0,0.0,0.2,0.2,0.1,0.4,1.9
600,кореферентность,2.6,0.0,0.0,3.0,2.2,1.9,2.2,3.8
601,корневой,58.8,25.1,71.9,68.0,56.8,47.4,36.4,52.2
602,корпус,295.25,18.0,20.4,46.2,77.5,186.5,380.8,773.4
603,корпусный,11.49,0.0,0.0,0.0,0.3,5.2,18.0,44.7
604,косвенный,143.38,63.4,86.8,96.5,123.2,117.2,117.1,95.0
605,костромской,17.78,14.4,9.6,10.7,17.5,13.4,15.3,22.6
606,красноречие,15.83,28.7,11.8,19.3,18.7,13.1,9.3,5.6
607,креол,27.56,1.2,0.2,3.0,4.4,19.6,36.4,12.2
608,креольский,4.45,0.0,0.2,1.7,0.8,3.9,4.6,0.9
609,крылатый,50.95,104.1,47.4,36.0,53.9,40.2,38.5,10.8
610,крымский,16.65,10.8,71.2,30.4,15.6,6.3,10.8,16.5
611,кумыкский,81.38,7.2,71.1,71.4,49.2,79.5,51.1,4.2
612,курский,16.51,13.2,11.6,21.6,17.8,11.0,13.6,3.8
613,кхмерский,2.04,0.0,0.0,1.3,0.6,0.6,1.9,40.0
614,лабиализация,5.65,0.0,11.9,8.1,4.1,2.7,5.2,5.2
615,лабиализованный,5.68,1.2,9.6,6.5,5.9,2.5,6.0,0.9
616,лабиальный,4.51,0.0,8.5,9.2,4.9,2.3,3.3,1.4
617,лакский,50.32,6.0,41.3,21.7,26.7,44.0,44.2,1.4
618,латентный,4.33,0.0,0.2,2.7,4.8,4.6,2.3,5.2
619,латинизм,5.18,0.0,2.3,1.7,4.3,7.0,1.3,3.3
620,латиница,5.44,4.8,2.3,1.5,2.6,3.9,6.0,8.9
621,латинский,139.22,240.6,129.6,114.6,106.9,104.8,114.7,104.9
622,латынь,16.75,19.1,5.6,10.2,19.9,9.4,15.4,83.2
623,латышский,12.72,10.8,19.6,21.8,9.2,6.1,12.1,2.8
624,лезгинский,103.43,4.8,9.8,11.6,85.1,90.1,100.5,6.1
625,лексема,504.97,2.4,60.6,205.6,353.4,448.1,426.3,857.6
626,лексика,1625.5,452.4,612.0,1251.9,1406.5,1531.2,1098.3,738.2
627,лексикализация,19.06,3.6,4.6,13.1,15.2,16.4,13.5,64.4
628,лексикографирование,1.03,0.0,0.7,0.0,0.8,0.9,0.9,0.5
629,лексикографический,255.78,25.1,74.8,137.1,191.5,224.5,212.6,214.9
630,лексикография,291.96,44.3,86.4,187.0,247.4,269.1,214.9,196.1
631,лексиколог,398.74,32.3,120.7,378.7,363.0,374.9,259.4,90.7
632,лексикология,364.89,23.9,99.7,339.3,327.4,345.6,238.3,81.3
633,лексикон,100.97,70.6,42.5,26.4,76.9,99.7,73.0,84.2
634,лексикостатистика,0.68,0.0,0.3,0.1,0.4,0.2,1.0,1.9
635,лексический,1502.5,242.9,551.1,1207.0,1317.7,1410.4,1005.8,814.8
636,лемма,10.35,16.8,1.1,1.6,3.9,8.5,10.6,19.3
637,лемматизация,1.57,0.0,0.0,0.0,0.4,1.4,1.7,1.4
638,лигатура,1.74,0.0,1.8,0.5,0.5,0.7,2.7,0.0
639,лингвистика,2297.41,65.8,138.1,819.0,1556.7,2047.1,2083.4,1465.1
640,лингводидактика,5.1,0.0,0.0,0.8,3.5,4.4,5.1,2.8
641,лингвист,5225.03,513.4,650.7,2314.8,3805.9,4728.8,4445.5,3225.4
642,лингвистический,2510.71,250.1,372.3,1236.4,1936.7,2346.9,1990.3,1369.2
643,лингвистка,1.96,0.0,0.0,0.1,2.2,1.9,1.6,0.0
645,лингвогеография,1.38,0.0,0.2,1.0,1.1,1.3,1.0,2.4
646,лингводидактика,5.1,0.0,0.0,0.8,3.5,4.4,5.1,2.8
647,лингвокреативный,0.4,0.0,0.0,0.0,0.0,0.3,0.5,0.9
648,лингвокультурный,20.36,0.0,0.0,0.0,0.7,12.9,29.7,18.3
649,лингвокультурология,20.36,0.0,0.0,0.0,1.4,15.1,26.7,17.4
650,лингвопоэтика,1.0,0.0,0.0,0.2,0.7,0.9,1.0,0.5
651,лингвопрагматика,0.75,0.0,0.0,0.0,0.3,0.5,1.0,0.9
652,лингвосемиотика,0.31,0.0,0.0,0.1,0.0,0.1,0.6,0.5
653,лингвосинергетический,0.14,0.0,0.0,0.0,0.0,0.1,0.2,0.0
654,лингвостатистический,0.61,0.0,0.0,0.1,0.4,0.5,0.6,0.0
655,лингвостилистика,19.51,0.0,1.1,20.0,17.7,19.4,11.7,4.2
656,лингвофольклористика,1.19,0.0,0.0,0.0,0.9,0.8,1.5,0.5
657,лиризм,2.25,7.2,6.7,3.4,1.6,1.5,1.2,0.9
658,лирика,76.5,38.3,49.0,32.7,64.8,77.5,49.1,10.8
659,лирический,73.79,86.2,87.4,54.6,60.7,73.3,38.8,14.6
660,лиричность,0.56,6.0,1.8,0.7,0.5,0.4,0.2,0.0
661,литовский,38.73,37.1,52.6,68.4,36.1,15.8,38.4,19.3
662,литота,2.58,2.4,0.5,1.1,1.8,2.6,1.6,6.6
663,логопедический,1.07,13.2,0.2,0.0,0.2,0.8,1.2,0.0
664,локализатор,8.62,0.0,0.3,3.1,14.4,6.2,7.9,0.9
665,локализация,46.87,0.0,11.1,15.7,38.3,36.3,46.7,42.8
666,локативный,2.26,0.0,0.3,0.2,2.8,1.1,2.9,5.2
667,македонский,14.62,14.4,6.4,5.6,16.8,11.1,12.8,19.3
668,макрополе,3.96,0.0,0.0,1.9,1.6,4.2,3.0,0.9
669,малограмотный,1.49,6.0,3.1,1.5,1.4,1.1,0.9,2.4
670,малопродуктивный,3.55,2.4,2.6,3.6,3.4,3.1,2.3,0.9
671,малоупотребительный,4.44,13.2,7.2,5.9,4.3,3.1,2.9,1.4
672,марийский,86.51,2.4,45.1,43.9,60.8,55.7,97.8,48.0
673,маркирование,37.92,0.0,0.3,2.6,11.0,16.1,61.7,51.2
674,маркированность,15.33,0.0,1.0,9.1,17.2,14.1,11.3,3.8
675,маркированный,48.11,2.4,7.7,30.4,48.1,38.8,42.0,26.3
676,машинный,46.27,12.0,11.4,51.6,52.7,42.0,27.7,19.3
677,мегрельский,2.2,1.2,0.3,3.8,14.0,0.2,0.7,0.0
678,медиадискурс,18.74,0.0,0.0,0.0,0.0,0.9,40.9,28.2
679,медиатекст,19.35,0.0,0.0,0.0,0.1,2.6,40.3,23.0
680,междометие,84.31,37.1,29.4,39.7,71.8,72.1,70.1,84.6
681,междометный,15.34,2.4,2.5,7.0,21.5,14.2,10.5,2.8
682,межслоговой,0.92,0.0,0.8,0.5,0.6,1.1,0.4,0.9
683,межтекстовый,0.33,0.0,0.0,0.0,0.1,0.4,0.3,0.0
684,местоимение,358.39,234.6,239.4,300.2,273.8,266.9,313.9,314.6
685,местоименный,68.15,18.0,33.7,74.3,81.4,51.6,51.5,26.8
686,метатеза,6.47,1.2,11.3,9.3,5.2,5.8,2.9,1.4
687,метафора,663.98,80.2,91.3,133.1,433.6,612.8,585.5,627.7
688,метафоризация,6.54,4.8,1.5,1.6,4.3,5.6,6.0,7.5
689,метафорический,287.67,41.9,64.9,85.8,165.9,261.5,252.5,318.8
690,метафоричность,11.14,3.6,7.4,5.0,7.9,10.2,8.3,14.1
691,метонимизация,0.48,0.0,0.0,0.3,0.2,0.3,0.6,0.5
692,метонимический,42.53,4.8,6.0,23.6,32.0,43.1,28.4,39.5
693,метонимия,44.84,7.2,9.0,20.7,34.0,43.7,32.3,48.9
694,микрополе,30.1,0.0,0.2,11.0,24.1,36.6,14.9,2.8
695,микротопонимия,2.08,0.0,0.2,0.8,1.1,1.7,2.1,2.8
696,микротопонимический,1.19,0.0,0.0,0.1,1.3,1.1,1.0,0.9
697,микротопоним,20.7,0.0,9.0,11.9,17.6,16.4,18.3,21.2
698,младописьменный,4.28,2.4,16.5,5.8,3.2,2.9,2.1,0.9
699,многозначность,80.98,19.1,26.3,71.0,70.7,75.9,53.0,54.1
700,многоморфемный,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
701,многоточие,6.08,26.3,7.0,5.3,3.0,5.8,3.5,1.9
702,многоязычие,22.04,0.0,3.3,11.5,13.6,20.5,16.5,53.1
703,многоязычный,11.5,1.2,2.6,5.4,6.1,8.9,11.3,24.0
704,модальность,299.35,6.0,61.4,188.7,294.7,281.2,211.2,145.3
705,модальный,297.74,35.9,155.9,273.8,331.4,257.5,197.5,178.7
706,мокшанский,17.9,2.4,2.0,10.0,10.8,12.3,19.2,38.1
