,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
696,младописьменный,4.28,2.4,16.5,5.8,3.2,2.9,2.1,0.9,0.4879,87.7,89.0
697,многозначность,80.98,19.1,26.3,71.0,70.7,75.9,53.0,54.1,0.1742,95.8,123.0
698,многоморфемный,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9815,0.0,1.0
699,многоточие,6.08,26.3,7.0,5.3,3.0,5.8,3.5,1.9,0.4088,86.08,110.0
700,многоязычие,22.04,0.0,3.3,11.5,13.6,20.5,16.5,53.1,0.3756,90.68,123.0
701,многоязычный,11.5,1.2,2.6,5.4,6.1,8.9,11.3,24.0,0.3192,92.59,119.0
702,модальность,299.35,6.0,61.4,188.7,294.7,281.2,211.2,145.3,0.2452,94.42,123.0
703,модальный,297.74,35.9,155.9,273.8,331.4,257.5,197.5,178.7,0.2147,94.9,123.0
704,мокшанский,17.9,2.4,2.0,10.0,10.8,12.3,19.2,38.1,0.7086,79.81,73.0
705,молдавский,12.87,4.8,20.7,56.5,11.6,5.4,4.7,17.4,0.5735,83.43,118.0
706,монгольский,161.65,52.7,304.5,179.4,107.3,121.2,114.8,74.8,0.4706,88.84,122.0
707,монолингв,5.09,0.0,1.5,1.5,2.6,3.6,5.9,4.7,0.4823,86.22,94.0
708,монолог,82.44,64.6,46.9,87.8,102.6,70.8,50.2,21.2,0.2509,93.98,123.0
709,монологический,35.54,2.4,6.7,41.5,49.3,31.4,20.8,4.7,0.3159,92.66,123.0
710,монофтонг,6.25,1.2,4.6,3.7,4.8,5.6,4.7,2.4,0.5312,84.11,84.0
711,мордовский,55.38,16.8,24.0,47.5,58.6,47.1,40.2,20.2,0.5653,84.14,123.0
712,морф,1127.91,235.8,615.5,1085.9,1003.3,939.2,825.0,965.7,0.1465,96.38,123.0
713,морфема,140.63,56.2,112.4,172.5,138.6,94.7,110.9,231.3,0.2017,95.04,123.0
714,морфемика,5.91,0.0,0.0,5.1,5.9,5.6,4.0,0.0,0.3974,91.09,102.0
715,морфемный,50.45,3.6,12.1,49.2,48.5,46.5,33.0,24.0,0.2812,92.76,123.0
716,морфологический,382.06,104.1,256.5,394.0,352.9,330.6,253.7,209.2,0.1578,95.94,123.0
717,морфология,288.91,39.5,155.9,239.8,239.2,261.3,202.4,136.8,0.198,94.41,123.0
718,морфонологический,18.97,1.2,4.1,21.0,19.2,13.8,15.3,35.7,0.3778,90.91,119.0
719,морфонология,17.01,0.0,0.8,31.0,14.4,12.5,12.5,18.8,0.3652,89.12,121.0
720,мурманский,2.54,1.2,0.7,1.8,1.1,1.2,3.5,2.4,0.5242,82.74,81.0
721,мягкость,11.75,50.3,13.4,12.2,10.2,8.6,8.2,14.6,0.3502,91.93,115.0
722,надстрочный,4.05,14.4,3.3,3.2,2.6,2.4,4.3,0.5,0.5807,78.97,77.0
723,назализация,2.03,0.0,1.5,2.7,1.7,1.1,1.9,4.7,0.4861,88.13,71.0
724,назальный,1.97,0.0,2.3,1.9,1.6,1.8,1.1,4.7,0.6063,79.28,59.0
725,наклонение,133.72,44.3,205.9,167.7,95.6,88.7,109.1,70.1,0.3188,92.45,123.0
726,наречение,4.62,0.0,5.7,4.3,4.4,3.3,3.5,7.5,0.4136,89.21,104.0
727,наречие,366.35,227.4,301.9,331.8,345.2,293.9,270.9,230.9,0.2116,94.77,123.0
728,наречный,25.56,10.8,13.7,24.3,21.4,22.8,17.3,16.0,0.2572,92.54,123.0
729,нарративный,36.69,0.0,2.6,1.6,20.0,29.8,40.7,18.3,0.3643,91.57,117.0
730,нарратор,2.05,0.0,0.0,0.0,0.0,1.3,2.9,5.2,0.6573,81.96,48.0
731,нахский,0.21,0.0,0.0,0.0,0.3,0.1,0.3,0.0,0.8775,68.88,14.0
732,невербальный,105.62,0.0,3.1,9.4,44.9,95.9,105.6,80.4,0.3117,92.54,120.0
733,невозвратный,3.46,4.8,1.6,1.8,2.1,2.8,3.0,7.1,0.51,85.9,80.0
734,невопросительный,1.65,0.0,0.5,0.9,0.9,1.3,1.6,1.9,0.5764,83.58,61.0
735,негация,0.86,0.0,0.0,0.2,0.3,0.4,1.4,0.0,0.6375,81.19,44.0
736,негласный,0.74,1.2,0.0,0.4,0.6,0.5,0.8,0.9,0.5095,87.65,60.0
737,неграмотность,2.0,13.2,7.4,5.3,1.4,0.7,1.1,0.9,0.5344,86.56,72.0
738,неграмотный,2.92,18.0,8.3,5.2,2.6,1.2,2.1,2.4,0.4551,88.77,86.0
739,нейролингвистика,3.62,0.0,0.0,1.0,3.6,3.3,3.0,2.4,0.3844,91.29,98.0
740,нейропсихологический,1.96,0.0,0.0,0.3,1.3,1.2,2.5,3.8,0.5808,76.72,66.0
741,нейрофизиологический,2.2,0.0,0.0,0.5,2.2,2.1,1.7,2.4,0.4675,88.03,78.0
742,нейрофизиология,1.62,0.0,0.0,0.5,1.6,1.4,1.3,6.6,0.4654,88.42,75.0
743,нейтрализация,25.92,15.6,15.4,29.7,25.2,24.2,14.1,17.4,0.2397,93.68,123.0
744,нейтральный,94.58,149.6,64.9,86.1,71.3,77.2,70.8,95.0,0.14,96.61,123.0
745,нелабиализованный,1.56,0.0,4.2,2.3,0.7,0.7,1.6,0.5,0.6126,85.07,54.0
746,немаркированный,18.49,1.2,4.4,12.4,22.8,13.6,16.5,8.9,0.3655,90.61,121.0
747,неметафорический,2.09,3.6,1.0,1.6,1.4,1.6,1.7,5.2,0.4436,88.86,86.0
748,немецкий,907.35,327.9,181.5,701.7,658.6,830.5,684.7,542.6,0.331,92.48,123.0
749,немецкоязычный,28.01,0.0,0.0,1.8,7.4,17.1,39.9,19.7,0.4947,87.39,110.0
750,ненормативный,18.43,6.0,5.7,7.2,18.0,16.7,14.2,13.6,0.3365,84.32,122.0
751,ненормированный,1.52,10.8,0.8,1.7,0.9,1.3,1.0,0.5,0.4728,84.55,75.0
752,неологизм,107.11,69.4,64.5,62.7,70.3,97.2,79.0,140.6,0.2869,93.17,123.0
753,непредикативный,5.69,1.2,1.6,4.3,5.6,5.8,3.2,1.9,0.3668,86.61,112.0
754,непредметный,3.69,0.0,0.7,2.1,4.0,3.6,2.4,1.4,0.3564,91.06,104.0
755,непродуктивность,1.74,3.6,0.8,1.6,0.9,1.6,1.2,0.5,0.4286,89.3,85.0
756,непродуктивный,11.32,18.0,18.3,8.8,12.3,8.4,7.8,8.0,0.2599,93.38,123.0
757,нереферентный,0.56,0.0,0.0,0.3,0.1,0.4,0.7,0.9,0.7495,79.44,30.0
758,несклоняемый,6.66,6.0,8.5,3.8,5.2,4.2,6.7,2.8,0.5026,83.21,94.0
759,несловарный,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9495,53.54,5.0
760,неспрягаемый,1.43,1.2,1.6,3.0,1.2,0.7,1.1,2.4,0.5189,85.47,68.0
761,нетерминологический,3.68,3.6,2.9,5.3,2.7,3.4,2.0,0.9,0.3203,91.25,111.0
762,нефинитный,0.19,0.0,0.0,0.0,0.3,0.1,0.1,1.9,0.8935,66.44,12.0
763,нефлективность,0.03,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9655,39.18,3.0
764,неформальный,16.13,0.0,0.0,0.9,7.3,14.3,15.5,37.1,0.3251,90.6,116.0
765,неэтимологический,0.95,0.0,0.2,0.1,0.7,0.3,1.5,2.8,0.7495,71.27,30.0
766,нивхский,5.56,2.4,3.1,7.0,2.0,4.0,5.2,3.8,0.5952,77.16,82.0
767,нидерландский,9.88,9.6,1.3,1.7,6.3,6.9,11.3,14.1,0.4763,85.22,111.0
768,новогреческий,12.18,9.6,1.3,5.5,6.9,7.6,15.3,2.8,0.585,83.07,99.0
769,новозеландский,3.18,0.0,0.0,0.0,1.2,0.5,6.3,0.5,0.8107,59.66,35.0
770,новороссийский,0.68,2.4,1.8,1.1,0.6,0.4,0.4,0.9,0.6665,83.73,41.0
771,новосибирский,13.87,12.0,4.7,9.9,9.9,10.1,13.5,9.9,0.2281,94.78,123.0
772,номинализация,5.98,0.0,0.8,3.9,4.3,3.5,6.7,16.9,0.4135,87.96,110.0
773,номинативный,219.87,26.3,48.2,146.8,211.0,212.8,144.8,131.7,0.2069,95.42,123.0
774,номинация,484.96,8.4,20.6,311.5,404.2,468.6,349.8,252.0,0.2133,95.3,123.0
775,норвежский,10.16,3.6,4.7,8.9,4.5,8.7,7.2,38.6,0.439,86.12,116.0
776,нормандский,1.18,0.0,0.2,0.1,0.4,1.0,1.3,0.9,0.6837,71.38,40.0
777,носовой,10.27,41.9,19.4,12.0,6.6,5.2,9.6,10.8,0.3911,89.96,112.0
778,обозначение,291.66,284.8,228.9,238.0,246.4,242.4,213.0,275.1,0.0965,97.81,123.0
779,оборот,256.51,493.1,355.5,289.4,232.0,189.4,173.5,258.6,0.1615,96.48,123.0
780,обособление,15.09,12.0,18.6,28.1,12.4,12.0,8.1,2.8,0.3205,89.8,123.0
781,обособленность,3.21,6.0,4.6,3.7,2.9,2.4,2.0,2.8,0.3035,93.07,106.0
782,обособленный,26.81,26.3,40.8,42.1,25.4,20.9,14.4,13.6,0.3273,90.89,123.0
783,обращение,581.69,135.2,143.9,172.5,221.6,263.5,830.0,1640.5,0.3644,89.85,123.0
784,обрусение,0.64,1.2,0.7,0.5,0.8,0.2,0.8,1.4,0.6935,78.86,37.0
785,обстоятельный,6.53,10.8,21.4,13.0,6.7,3.4,3.4,3.8,0.3104,91.55,120.0
786,обстоятельственный,44.53,8.4,23.7,55.1,47.4,38.6,27.2,16.5,0.2752,93.42,122.0
787,обстоятельство,150.14,114.9,160.4,177.4,172.0,106.5,107.7,103.4,0.1759,95.77,123.0
788,обсценный,3.31,0.0,0.0,0.0,3.4,2.9,3.0,4.2,0.4803,86.67,87.0
789,общеиндоевропейский,3.17,1.2,1.5,2.6,3.7,2.7,2.2,0.9,0.419,89.5,97.0
790,общелингвистический,11.87,2.4,5.4,14.0,10.2,11.1,7.0,5.6,0.2372,94.37,122.0
791,общеразговорный,0.79,1.2,1.6,0.7,0.7,0.8,0.3,0.0,0.6025,83.32,49.0
792,общеупотребительный,41.78,40.7,33.8,47.0,28.9,36.4,27.9,15.5,0.1903,95.43,123.0
793,огласовка,7.86,4.8,22.4,11.3,5.8,3.8,6.2,13.6,0.4825,82.74,92.0
794,оглушение,3.91,2.4,10.5,3.9,2.5,2.9,2.5,4.2,0.4215,89.02,94.0
795,оговорка,154.12,137.6,163.9,97.5,121.2,113.0,135.9,120.8,0.2148,94.2,123.0
796,огубленный,2.85,1.2,4.4,1.0,3.9,1.7,2.3,10.3,0.6776,76.49,48.0
797,огузский,1.59,0.0,11.1,4.7,0.9,0.5,0.4,0.0,0.7132,78.5,40.0
798,одноморфемный,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9815,0.0,1.0
799,одушевление,2.49,3.6,2.8,2.1,2.5,2.0,1.6,4.2,0.3511,92.11,97.0
800,озвончение,3.91,3.6,13.4,4.8,1.6,1.2,4.3,1.9,0.5253,86.71,82.0
801,озвучивание,3.14,0.0,0.0,0.4,2.3,2.2,3.4,10.3,0.5517,83.51,74.0
802,означаемое,4.68,0.0,1.6,5.0,5.4,3.4,3.7,7.5,0.3002,93.34,116.0
803,означающее,0.79,0.0,1.0,0.6,0.7,0.6,0.5,4.2,0.5255,85.98,58.0
804,оканье,7.39,26.3,18.1,7.7,4.9,4.2,6.2,4.7,0.5016,86.89,90.0
805,окказионализм,36.15,23.9,10.0,20.6,33.3,33.6,26.5,11.8,0.3809,90.09,123.0
806,окказиональный,111.88,28.7,17.6,75.4,86.2,111.9,76.1,25.9,0.3292,92.07,123.0
807,окончание,88.71,406.9,150.0,92.3,74.0,51.1,74.1,92.2,0.37,91.7,123.0
808,оксюморон,9.65,1.2,3.9,6.0,12.6,7.2,8.3,2.8,0.3355,89.77,119.0
809,олицетворение,19.97,14.4,18.3,10.3,45.3,16.2,9.6,19.3,0.3803,84.38,123.0
810,омограф,7.84,0.0,3.4,8.5,14.6,6.5,4.2,2.4,0.5707,73.63,95.0
811,омоним,200.68,82.6,196.1,208.6,143.8,183.5,123.0,87.5,0.2463,93.61,123.0
812,омонимичный,24.5,16.8,19.8,21.6,15.7,22.0,17.1,12.2,0.2815,91.47,123.0
813,омонимия,95.39,26.3,49.8,99.1,62.9,89.8,62.4,29.2,0.2463,93.77,123.0
814,омофон,4.73,6.0,5.7,2.3,4.0,2.9,4.9,2.8,0.4293,86.81,107.0
815,омофония,0.81,1.2,0.5,0.5,0.7,0.8,0.5,1.4,0.6775,80.01,39.0
816,омоформа,2.54,2.4,4.4,0.8,2.2,1.4,2.8,0.9,0.5829,83.79,71.0
817,онимизации,7.13,0.0,1.1,3.7,6.7,6.2,5.5,14.1,0.3102,92.22,115.0
818,онимический,361.07,111.3,169.1,336.1,345.2,326.1,233.6,259.1,0.1759,96.3,123.0
819,ономастика,183.24,12.0,51.1,75.9,138.8,160.2,156.1,196.5,0.276,93.57,123.0
820,ономастический,91.18,2.4,11.3,22.8,46.0,75.9,90.4,155.2,0.2938,93.31,123.0
821,ономатопея,3.22,0.0,1.1,0.7,2.8,1.8,4.2,1.4,0.5451,79.28,72.0
822,ономатопоэтический,1.53,0.0,1.1,0.8,0.9,0.9,1.9,0.0,0.5447,77.88,63.0
823,онтолингвистика,0.26,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.8375,72.67,19.0
824,оптатив,17.86,0.0,8.7,10.8,14.0,14.7,15.6,8.0,0.5029,85.86,116.0
825,оптативный,7.55,0.0,2.6,7.4,8.6,6.4,5.3,0.5,0.5723,82.4,99.0
826,орографический,1.28,3.6,1.1,1.9,3.0,0.9,0.4,1.9,0.6604,78.48,44.0
827,оронимический,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9815,0.0,1.0
828,орфограмма,3.5,13.2,2.8,0.9,2.1,2.9,2.9,5.2,0.6309,80.67,62.0
829,орфографический,83.31,293.2,83.8,50.4,64.6,58.6,71.5,129.8,0.2726,93.77,123.0
830,орфография,107.52,302.8,143.8,75.7,79.5,73.6,90.6,165.5,0.2808,93.56,123.0
831,орфоэпический,18.83,29.9,20.7,21.5,20.5,14.1,12.6,13.6,0.3248,92.56,121.0
832,орфоэпия,11.23,46.7,23.7,11.0,10.4,9.1,5.9,1.9,0.3258,89.84,123.0
833,осетинский,46.14,16.8,25.0,33.4,9.2,39.0,42.9,32.9,0.5317,83.56,120.0
834,основосложение,1.63,0.0,0.5,1.5,1.1,1.8,0.9,0.0,0.6172,82.42,56.0
835,отрицание,183.26,47.9,66.8,173.4,179.4,117.7,178.3,176.8,0.2905,92.71,123.0
836,оценочность,20.81,0.0,0.3,9.5,18.4,20.3,15.5,9.4,0.2378,94.58,122.0
837,оценочный,332.68,38.3,37.3,184.2,283.2,310.1,257.8,132.6,0.2275,94.84,123.0
838,падеж,509.13,658.2,764.9,579.7,450.9,321.3,423.5,260.5,0.2565,94.12,123.0
839,падежный,132.6,38.3,125.5,136.4,117.0,94.8,110.6,65.4,0.2513,93.75,123.0
840,палатализация,7.96,0.0,7.7,4.8,6.6,4.5,8.9,6.1,0.4665,86.33,101.0
841,палатализованный,4.95,0.0,7.7,2.9,2.9,1.8,6.8,2.4,0.6018,79.5,69.0
842,палатальность,0.91,0.0,0.8,1.6,0.4,0.5,0.9,0.5,0.6265,78.14,46.0
843,палатальный,7.16,1.2,8.2,6.4,8.4,2.9,8.3,5.6,0.5252,86.57,86.0
844,парадигма,524.96,20.3,125.1,290.3,459.7,472.9,410.4,376.6,0.1672,96.36,123.0
845,парадигматически,104.97,0.0,27.6,117.0,121.6,95.7,61.1,71.0,0.2135,94.79,123.0
846,параллелизм,36.32,28.7,42.2,31.7,44.2,26.5,26.9,18.8,0.2339,91.33,123.0
847,парафраз,7.2,0.0,0.8,3.3,4.0,7.7,4.2,20.2,0.508,76.66,110.0
848,паремиологический,1.62,0.0,0.0,0.0,0.7,1.2,2.0,2.4,0.5344,85.12,68.0
849,паремический,0.31,0.0,0.0,0.0,0.1,0.2,0.4,0.0,0.9015,60.02,11.0
850,паремия,77.91,0.0,1.5,6.2,33.5,50.2,90.7,380.4,0.4097,88.67,117.0
851,пароним,34.2,18.0,6.0,27.4,21.9,34.5,22.6,11.3,0.4558,86.7,122.0
852,паронимический,7.41,2.4,0.8,3.8,4.5,7.3,5.6,4.2,0.4076,86.25,112.0
853,паронимия,9.01,1.2,0.5,8.7,5.3,9.0,6.1,2.8,0.4882,85.23,104.0
854,парономазия,1.97,0.0,0.3,1.1,2.4,1.9,1.3,0.5,0.5001,86.24,78.0
855,партитивный,7.61,0.0,2.1,2.7,3.1,5.5,8.9,1.4,0.4991,82.03,105.0
856,парцелляция,22.96,0.0,10.5,23.7,16.9,21.9,14.6,6.6,0.4526,85.01,119.0
857,пассив,116.24,33.5,61.1,138.4,72.7,84.7,102.6,79.9,0.2829,92.17,123.0
858,пассивизация,2.86,0.0,0.2,1.5,3.4,2.4,2.2,5.2,0.5931,81.76,67.0
859,пассивный,70.05,23.9,43.5,91.8,43.8,51.2,59.4,39.0,0.2571,92.26,123.0
860,патетика,1.09,9.6,4.7,1.6,0.9,0.6,0.4,0.0,0.551,85.09,55.0
861,патетический,2.2,10.8,8.2,4.4,1.4,1.4,0.9,0.0,0.5002,84.09,76.0
862,пациенс,13.24,0.0,2.0,5.3,7.5,9.7,14.3,20.7,0.457,86.73,109.0
863,пейоративный,12.02,0.0,0.0,1.8,7.5,11.0,11.4,5.2,0.3759,87.9,117.0
864,пензенский,7.21,25.1,15.5,7.3,7.0,4.0,6.0,3.8,0.31,91.44,117.0
865,перевод,1642.44,557.7,710.2,901.9,896.5,1439.0,1367.2,2304.4,0.2706,93.24,123.0
866,переводной,26.18,31.1,12.7,20.6,18.5,21.3,21.1,37.6,0.2284,94.34,123.0
867,переводный,44.94,25.1,19.4,36.5,32.9,37.6,35.5,53.1,0.2023,95.23,123.0
868,переводоведение,11.08,0.0,0.2,0.4,0.8,10.3,11.4,18.8,0.5204,87.59,96.0
869,переводческий,97.72,1.2,15.5,32.8,34.3,95.6,82.4,110.5,0.4231,89.4,123.0
870,переводчик,150.84,51.5,77.0,82.8,84.3,132.8,121.7,238.4,0.2975,92.25,123.0
871,переднеязычный,7.38,1.2,8.3,10.7,5.9,5.2,5.5,5.6,0.5254,85.7,94.0
872,переходный,109.4,33.5,99.5,89.4,75.1,80.3,97.3,90.7,0.2523,93.24,123.0
873,переходность,47.41,0.0,23.7,45.9,30.6,49.7,26.0,10.8,0.2945,92.44,123.0
874,переходный,109.4,33.5,99.5,89.4,75.1,80.3,97.3,90.7,0.2523,93.24,123.0
875,периферийный,73.06,12.0,17.0,35.2,66.2,69.1,51.2,103.4,0.1871,95.52,123.0
876,периферия,94.09,6.0,9.3,32.8,69.1,96.0,67.7,75.2,0.1941,95.45,123.0
877,пермяцкий,17.77,1.2,2.5,1.2,31.0,10.9,19.2,7.5,0.7217,75.48,81.0
878,персидский,87.27,22.7,217.0,140.7,55.5,44.2,72.4,74.8,0.4616,89.46,123.0
879,перфект,255.43,9.6,53.8,89.9,107.9,116.4,374.3,380.4,0.4943,81.79,123.0
880,перфектив,87.19,2.4,8.8,10.4,20.9,24.8,153.7,182.0,0.6396,78.63,120.0
881,перфективный,36.79,0.0,4.9,5.9,7.4,10.2,66.1,50.8,0.6375,74.63,107.0
882,перфектный,27.56,0.0,2.6,22.2,22.0,15.8,32.5,19.7,0.4765,76.18,120.0
883,перцептивный,4.19,1.2,0.2,0.2,1.4,3.5,4.8,1.9,0.3965,90.01,104.0
884,пиджин,10.46,1.2,0.0,1.7,1.9,11.1,9.0,3.8,0.6598,76.42,82.0
885,пиктограмма,0.78,0.0,0.3,0.0,0.3,0.9,0.5,0.5,0.6855,76.6,38.0
886,письменность,183.46,179.5,336.6,220.9,174.1,125.6,128.7,89.3,0.2558,94.26,123.0
887,плеоназм,5.41,4.8,4.7,8.7,3.0,3.4,4.9,1.4,0.5503,74.21,96.0
888,плеонастический,2.45,3.6,1.6,4.7,1.1,1.4,2.3,0.9,0.5547,79.46,73.0
889,плюсквамперфект,27.36,0.0,4.6,10.1,9.7,18.3,31.9,68.6,0.6377,79.48,112.0
890,повествовательный,67.76,20.3,30.2,58.8,75.8,61.9,43.1,10.8,0.2231,94.8,123.0
891,поговорка,138.87,113.7,146.2,87.0,110.1,101.8,122.9,104.4,0.2503,93.45,123.0
892,поговорочный,4.36,0.0,2.6,0.5,3.0,4.5,3.0,4.2,0.4623,86.74,100.0
893,подговор,4.52,0.0,6.4,9.1,1.2,3.1,3.4,1.4,0.6578,75.53,55.0
894,подкорпус,8.96,0.0,0.0,0.0,0.0,2.0,15.5,61.6,0.7006,79.26,58.0
895,подлежащее,128.44,117.3,128.6,145.7,117.2,93.9,96.0,121.8,0.2937,93.53,123.0
896,подтекст,38.95,38.3,11.1,22.0,49.0,33.2,28.0,42.3,0.3441,90.17,123.0
897,подтекстовый,4.56,0.0,0.7,1.6,4.5,3.6,4.2,8.5,0.4576,83.41,100.0
898,подчинение,36.75,7.2,51.3,33.6,38.5,31.5,21.6,18.3,0.2255,94.06,123.0
899,подчинительный,36.32,23.9,35.5,30.1,40.5,34.1,19.5,11.3,0.2749,93.09,123.0
900,позднеантичный,0.73,0.0,0.0,0.2,0.3,0.7,0.7,0.0,0.7575,67.64,29.0
901,полилексемный,0.05,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.9735,15.15,2.0
902,полилингвизм,2.55,0.0,0.2,0.1,0.4,2.1,2.9,2.8,0.5053,88.36,79.0
903,полилог,11.12,0.0,0.2,0.7,21.6,8.4,9.7,2.4,0.5186,78.64,107.0
904,полипредикативность,1.83,0.0,0.0,0.5,4.2,1.8,0.8,1.4,0.4767,88.4,73.0
905,полисемия,93.1,12.0,18.6,81.5,72.0,80.5,70.2,134.5,0.2209,94.76,123.0
906,полисинтетический,1.96,0.0,1.8,0.7,0.9,1.0,1.2,35.3,0.6572,65.84,50.0
907,полногласие,4.44,9.6,5.2,2.0,5.5,4.4,2.1,0.9,0.5296,82.61,80.0
908,полупредикативный,0.23,0.0,0.2,0.6,0.2,0.2,0.1,0.0,0.8375,73.42,19.0
909,полупредикативность,0.44,0.0,0.5,0.6,0.2,0.2,0.5,0.0,0.8135,58.62,22.0
910,помета,22.85,61.0,40.2,31.9,19.6,15.8,14.5,20.2,0.3568,92.01,122.0
911,порождение,98.03,4.8,5.7,37.3,90.3,96.6,71.7,49.4,0.2165,94.97,123.0
912,португальский,13.0,10.8,2.8,17.0,17.5,8.3,9.7,37.6,0.5244,84.18,116.0
913,посессив,65.44,0.0,35.5,41.4,35.0,44.4,68.6,110.0,0.4655,87.65,123.0
914,посессивность,3.3,0.0,0.0,1.4,2.2,2.0,3.8,10.8,0.4921,86.16,82.0
915,посессивный,42.72,0.0,33.2,27.2,23.2,27.3,45.8,68.6,0.4717,86.76,122.0
916,посессор,19.68,0.0,0.0,1.7,4.6,14.1,21.8,98.7,0.6817,79.34,80.0
917,послелог,72.46,0.0,105.2,94.0,49.0,48.3,60.9,16.5,0.5007,88.25,115.0
918,послеложный,0.08,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.9335,60.81,7.0
919,послесловие,7.62,1.2,3.6,5.8,7.1,6.0,6.4,5.2,0.2478,94.49,120.0
920,пословица,262.94,185.5,227.1,126.7,178.5,209.7,230.6,253.0,0.2494,93.95,123.0
921,пословичный,21.87,9.6,7.7,5.2,13.4,19.4,19.7,17.4,0.4284,87.84,118.0
922,постфикс,7.22,0.0,11.1,2.0,11.2,5.3,5.5,2.4,0.4528,88.2,98.0
923,прагерманский,1.31,2.4,0.2,0.0,0.5,0.3,2.5,0.5,0.7183,60.34,36.0
924,прагмалингвистика,2.97,0.0,0.0,1.2,1.7,2.4,3.1,0.9,0.43799999999999994,89.66,87.0
925,прагматика,237.09,0.0,0.5,49.5,248.3,249.5,157.3,112.4,0.2995,93.27,123.0
926,прагматический,598.88,0.0,2.0,162.8,506.9,598.0,454.4,358.7,0.2743,93.83,122.0
927,прагматичность,1.56,0.0,0.0,0.3,2.2,1.5,1.1,0.0,0.4894,86.87,73.0
928,праиндоевропейский,0.46,0.0,0.0,0.1,0.3,0.2,0.7,0.0,0.7815,75.45,26.0
929,праформа,0.97,1.2,1.5,1.1,1.5,0.3,1.1,0.0,0.5575,85.37,54.0
930,праязык,20.07,4.8,39.0,25.5,15.5,13.6,13.9,30.6,0.3768,90.83,122.0
931,праязыковой,5.12,0.0,9.1,4.2,3.9,3.2,3.8,25.4,0.4853,86.07,92.0
932,преверб,21.72,0.0,1.3,7.9,23.9,9.9,26.8,81.3,0.6035,82.85,87.0
933,предикат,588.61,46.7,194.4,549.0,694.3,490.8,411.8,484.3,0.1761,96.17,123.0
934,предикатив,264.43,40.7,129.2,304.5,337.1,215.3,172.6,108.1,0.1899,95.62,123.0
935,предикативность,38.62,3.6,29.9,49.0,55.3,30.9,22.5,9.4,0.2836,93.16,122.0
936,предикативный,154.68,35.9,84.5,204.1,200.8,127.2,92.5,45.6,0.1988,95.34,123.0
937,предикатный,43.44,0.0,16.0,50.2,55.4,40.0,23.2,18.3,0.2712,93.56,123.0
938,предикация,53.23,0.0,10.0,41.5,47.0,45.3,42.7,37.1,0.3002,92.62,123.0
939,предлог,238.78,276.5,136.3,220.4,146.3,187.7,203.5,155.6,0.2422,94.18,123.0
940,предложение,2092.43,1013.7,1634.0,2607.7,2564.9,1808.5,1135.5,683.6,0.1645,96.2,123.0
941,предложный,99.87,95.7,40.0,142.1,76.8,78.0,74.9,40.4,0.2679,93.09,123.0
942,презенс,27.0,1.2,2.1,18.1,23.0,13.9,30.4,112.4,0.4915,87.14,108.0
943,прескриптивный,0.52,0.0,0.0,0.0,0.6,0.3,0.6,0.9,0.6775,84.32,39.0
944,пресуппозиция,49.92,0.0,1.8,49.0,56.6,49.7,27.3,21.2,0.3165,91.49,120.0
945,префикс,127.15,18.0,27.4,114.1,111.9,97.7,109.3,141.5,0.2652,93.78,123.0
946,префиксальный,36.25,3.6,6.2,34.5,35.7,30.8,27.2,18.3,0.2748,93.62,122.0
947,префиксоид,3.07,0.0,0.0,1.6,0.9,3.1,2.4,2.8,0.5949,79.35,70.0
948,привативный,4.78,0.0,4.1,6.8,6.4,3.4,3.2,0.9,0.3788,90.29,105.0
949,придаточный,143.44,35.9,210.4,186.3,141.4,116.0,82.6,55.0,0.2658,93.34,123.0
950,придыхательный,3.24,7.2,3.4,1.5,2.5,2.1,3.4,0.0,0.5523,84.54,68.0
951,призвук,1.4,1.2,2.9,1.3,0.7,0.7,1.2,7.5,0.633,81.6,48.0
952,прилагательное,326.85,330.3,321.9,376.3,329.0,254.8,221.7,179.1,0.1653,96.16,123.0
953,прилагательный,303.25,283.6,251.3,353.6,304.5,251.1,194.5,115.2,0.1633,96.01,123.0
954,приставка,92.98,185.5,82.2,62.6,88.8,61.4,84.2,130.7,0.3335,91.54,123.0
955,приставочный,37.75,27.5,16.7,22.5,37.3,25.8,35.3,72.4,0.4175,88.45,123.0
956,притяжательность,0.52,0.0,0.0,0.4,0.9,0.4,0.4,0.9,0.7545,78.24,30.0
957,притяжательный,46.2,7.2,69.6,49.1,50.6,27.5,39.6,29.6,0.3716,90.49,123.0
958,причастный,88.8,59.8,108.6,128.5,82.3,60.6,63.0,98.7,0.3245,92.72,123.0
959,прогрессив,25.99,26.3,40.7,32.1,13.9,14.4,25.3,20.7,0.3807,85.35,123.0
960,проза,365.67,262.1,178.9,315.3,308.0,336.6,247.0,98.7,0.2081,95.17,123.0
961,прозаизм,0.62,3.6,1.8,0.5,1.2,0.3,0.4,0.0,0.7495,78.67,30.0
