,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
100,аргумент,228.73,55.1,36.4,53.0,170.2,199.1,209.7,213.0,0.258,94.07,123.0
101,аргументативный,2.3,0.0,0.0,0.0,1.5,2.5,1.8,0.0,0.518,86.23,71.0
102,ареал,117.79,0.0,102.3,146.4,103.8,75.0,101.4,174.0,0.2663,94.08,123.0
103,ареалогия,0.84,0.0,0.2,4.6,0.2,0.6,0.1,0.0,0.7815,63.57,26.0
104,ареальный,36.06,0.0,33.2,53.9,29.0,25.3,27.8,22.6,0.2879,92.99,123.0
105,арийский,92.07,3.6,47.4,45.9,68.2,60.0,102.4,53.6,0.5778,84.43,119.0
106,армянский,34.88,7.2,74.2,73.2,15.9,21.2,23.7,32.9,0.4765,86.21,122.0
107,артикль,53.07,40.7,9.8,29.7,60.1,48.0,38.5,21.2,0.4102,89.5,122.0
108,артикуляторный,0.24,0.0,0.0,0.3,0.2,0.2,0.1,1.4,0.8375,75.25,19.0
109,артикуляционный,13.87,3.6,27.8,14.4,12.2,10.1,8.6,29.2,0.3832,88.52,115.0
110,артикуляция,17.07,9.6,33.2,21.3,10.3,11.8,11.6,38.1,0.3349,91.59,119.0
111,аруза,0.85,0.0,7.5,3.6,0.2,0.0,0.2,0.0,0.8295,65.77,20.0
112,архаизация,9.39,12.0,4.4,4.6,11.0,7.8,7.4,0.5,0.4031,87.16,117.0
113,архаизм,27.73,57.4,41.5,25.3,41.4,20.2,16.8,14.1,0.3114,91.64,122.0
114,архаичный,30.83,20.3,28.4,25.7,27.3,22.1,25.9,35.7,0.2125,95.23,123.0
115,археолог,50.77,28.7,78.9,54.1,45.7,31.6,43.1,40.0,0.2668,93.8,123.0
116,археологический,20.85,7.2,35.5,25.3,20.8,12.2,17.2,17.4,0.3596,91.68,120.0
117,археология,23.09,7.2,26.1,19.3,17.2,15.7,21.2,18.8,0.2035,95.23,123.0
118,архетип,38.15,0.0,16.5,11.6,20.5,31.3,38.6,10.3,0.2815,91.45,123.0
119,архетипический,0.74,0.0,0.0,0.0,0.4,0.6,0.9,0.0,0.7015,74.16,36.0
120,асиндетон,1.41,0.0,6.4,1.2,1.7,0.9,0.6,0.0,0.6175,73.76,53.0
121,аспект,2015.01,55.1,169.9,789.7,1560.9,1925.2,1613.5,880.2,0.215,95.6,123.0
122,аспектология,33.36,0.0,0.5,21.7,36.8,32.9,21.5,8.5,0.2685,93.61,121.0
123,аспектуальный,60.29,0.0,7.4,25.9,36.4,41.6,69.5,44.7,0.3382,85.83,121.0
