термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
контекстуальный,109.87,22.7,13.2,88.9,84.7,99.1,83.8,74.3,0.1953,95.66,123.0
переходный,109.4,33.5,99.5,89.4,75.1,80.3,97.3,90.7,0.2523,93.24,123.0
переходный,109.4,33.5,99.5,89.4,75.1,80.3,97.3,90.7,0.2523,93.24,123.0
просодический,109.11,3.6,6.9,81.2,107.5,98.6,80.1,77.1,0.402,89.92,123.0
диалектология,109.01,58.6,155.7,135.5,89.7,89.3,66.8,39.5,0.258,94.18,123.0
императив,108.08,4.8,37.3,19.6,68.0,82.9,115.9,83.7,0.3512,90.37,123.0
орфография,107.52,302.8,143.8,75.7,79.5,73.6,90.6,165.5,0.2808,93.56,123.0
неологизм,107.11,69.4,64.5,62.7,70.3,97.2,79.0,140.6,0.2869,93.17,123.0
прототип,106.36,9.6,23.4,15.4,87.6,100.4,86.4,115.2,0.2426,94.3,123.0
словесность,105.75,73.0,37.1,47.7,61.1,100.3,85.1,31.0,0.2376,94.67,123.0
невербальный,105.62,0.0,3.1,9.4,44.9,95.9,105.6,80.4,0.3117,92.54,120.0
сложноподчиненный,105.08,14.4,129.9,139.4,100.3,104.0,40.3,24.0,0.3203,92.33,123.0
парадигматически,104.97,0.0,27.6,117.0,121.6,95.7,61.1,71.0,0.2135,94.79,123.0
языковед,104.59,193.9,174.7,151.0,85.7,74.5,68.5,36.7,0.165,96.02,123.0
лезгинский,103.43,4.8,9.8,11.6,85.1,90.1,100.5,6.1,0.6912,81.71,111.0
фонологический,101.18,6.0,65.8,99.5,91.4,80.8,74.4,141.1,0.2553,93.39,123.0
лексикон,100.97,70.6,42.5,26.4,76.9,99.7,73.0,84.2,0.2239,94.28,123.0
инвариант,100.92,0.0,10.9,68.1,125.1,97.6,62.4,39.0,0.2329,94.76,123.0
предложный,99.87,95.7,40.0,142.1,76.8,78.0,74.9,40.4,0.2679,93.09,123.0
рема,98.58,83.8,51.8,91.1,98.8,87.2,63.3,81.3,0.2103,94.95,123.0
